Genes,CTRL_IgG_1,CTRL_IgG_2,TERT_IR_1,TERT_IR_2
KIAA0753,1.793753087,1.722388512,1.637230398,1.018259072
TTC39A,3.079252254,3.298460903,3.961986838,3.998180263
MAPK1,1.558975075,2.220466117,3.114088439,3.022190145
CASC3,1.816415289,2.391775935,4.606214892,4.500947377
MMS19,1.470504016,1.296429482,3.931786432,3.755420149
SARS2,1.195055607,1.475269967,3.431818103,3.184723773
CHMP5,1.02642353,1.257133789,4.252790546,3.917324449
ZNF629,1.335009594,1.4381161,3.78178406,3.666840234
ZNF66,1.323172135,1.483431124,2.948028093,2.620775988
TTC3,1.222028559,1.759701641,1.905900636,1.650860029
TTLL12,1.819034637,1.086656426,3.356090199,3.178930562
CDC45,1.735847308,1.469081798,2.994472193,3.420352663
BAZ2B,1.86389011,2.172220916,1.765407411,1.324823082
UTP3,1.465832587,1.312491146,1.855524275,1.528337204
WDR1,2.170979241,1.017529548,3.848913971,3.763619555
NMNAT1,1.073874284,1.344764003,3.891077649,1.762533881
SEC13,1.982321198,2.896335949,3.644636912,3.715166317
RPLP1,1.052958982,1.414033302,4.432631863,4.337678617
TTN,1.793557678,1.558403077,1.429994216,1.020075807
NOP14,1.304765376,2.179027197,3.838065298,3.819222282
DNASE1L1,1.026537174,2.360390363,1.730235983,1.483843054
SHCBP1,1.037515844,1.650158524,0.912353559,1.999671551
CRYBG1,1.307502891,1.263179991,1.44023047,1.448932832
SSX2IP,1.143664542,0.994087383,1.731607168,1.066892671
AATF,1.878756235,1.765025169,3.974215625,3.612092151
PRPF40A,1.518653096,1.47591316,3.488977862,3.41515093
IPO8,1.331273508,1.77262748,3.725178998,3.479259473
RAC1,1.854456871,1.465544505,3.233324643,1.167232528
B3GALT6,2.211133532,1.812151876,3.794815985,3.558348186
PHB,3.10075682,2.698763293,4.472996726,4.382092606
EIF4G2,1.32130117,0.990104522,3.27221994,3.135575675
NUDT21,1.329699587,1.841741949,3.940792333,3.993992432
POLR1C,2.996936935,2.977777886,4.371854112,4.310781371
RPL37,1.693520605,1.047839228,1.496712081,1.789895169
VTA1,2.501781621,2.802465549,4.021778792,3.922125925
RPL31,3.962077622,3.905612518,4.866351138,5.237139432
NBN,2.65471284,2.643045474,3.314556732,3.343145091
WDR12,1.551411127,1.949225665,3.422930634,2.783555539
LRRC1,1.635114412,1.02861783,3.154059857,1.341943543
DHX16,1.609154965,1.333554765,3.218376245,3.320224055
RPS7,3.656672378,3.24614403,5.50684299,5.488971966
PFAS,1.299617744,1.454315566,3.139008865,2.8816981
XPNPEP3,3.203438847,3.385410716,4.62758631,4.523766009
RPL10A,3.525254685,4.164200773,6.226815382,5.985757613
RBM25,1.300772048,2.512416249,3.275788713,3.295506837
LBR,2.514226154,1.528348071,4.820180417,4.678914712
TNPO1,1.468228018,1.326257481,4.298607062,4.077065244
NUP214,1.478822801,0.969947354,3.577747078,3.418932509
LDHA,2.954224297,3.136943766,4.107209254,4.17831042
PPIL2,1.725617978,1.156484686,1.319626516,1.921735821
EHD4,1.957488314,1.949893814,3.573190354,3.671294815
LUC7L,1.705079832,1.360670301,3.938235431,3.862767594
NUFIP1,1.705973775,2.007145367,3.539533128,3.241173247
KRR1,1.381302309,1.787920937,4.480213875,4.29345064
RBM22,1.094621949,1.698017489,3.904238107,3.617041462
HJURP,1.617898259,1.036022649,1.188756843,0.960228207
ACTL6A,1.684438841,1.901233415,3.617504922,3.944704469
RRP8,2.103445184,1.01486622,2.860047105,3.208450753
CYB5R3,1.596155283,1.22762145,1.863182454,1.920270625
ANXA1,1.716826393,1.368003449,1.600205553,1.068326302
ZC3H14,1.558290347,1.914538119,2.819256666,2.576034125
TF,1.560028085,1.594974889,2.193438817,2.074541407
PSMB1,3.058320998,1.649822527,4.492883022,4.366914238
AAMP,1.719604946,1.506413742,4.196074069,4.062719896
JCAD,1.92645331,1.991380457,2.370001684,1.321772566
TNKS1BP1,1.837941809,1.506367296,3.064090484,1.592204098
CUL1,1.04489955,1.625228333,2.594606783,1.636281458
CSRP2,1.598240856,2.632933439,4.105002039,3.981240981
ANKRD28,1.424766409,1.418895871,3.898844552,3.772859944
PCDH7,1.260661942,1.604596425,2.835095608,2.364514447
SRBD1,2.739569153,1.510754761,3.776634107,3.62182012
FARSA,3.161948268,3.357291976,4.388474312,4.427492323
PPIL4,1.420236934,2.020349444,1.28468204,1.454002606
DDX20,1.084921529,1.712606795,4.709037239,4.554855251
CDCA3,1.684481911,1.6319529,1.83146372,1.564038281
RAF1,1.551201993,1.644287712,3.552193344,3.422409996
ZC3H7B,1.762277754,1.868687728,2.812645293,2.950410573
SNTB2,1.413724961,1.528022268,3.528837656,2.991884053
RBM15B,1.760014499,1.636431423,2.744014538,2.626033521
FAT1,0.905618474,1.680662594,1.73324279,1.691451125
MRPL22,1.659631904,1.609219398,4.369221627,4.051887286
GAR1,2.369059176,3.145727495,4.361780014,4.038853569
RBM27,1.647246403,1.285276125,3.399147838,3.124465414
CLINT1,1.634656724,1.620845099,3.363450054,3.539862322
PPM1G,1.552772099,0.780034391,4.581840082,4.439156268
GATAD2B,1.557822592,1.817074732,2.779157315,3.05312558
PSMA4,3.314741921,3.309192112,4.431220901,4.395256683
HNRNPUL1,1.498032654,2.141062482,4.517605193,4.337729874
WDR75,1.539418042,2.06868705,2.346450047,1.768892205
GPC1,2.923883096,2.263241848,3.42169006,3.320127518
AURKB,2.181059357,1.954807707,4.300046618,4.145890801
NOL11,1.880452406,1.473959464,3.80650688,3.846540254
NSD1,1.202112354,0.765483422,2.220234716,2.10077679
FTSJ1,2.857001072,2.960923595,4.15247368,3.990137176
DCTN2,2.885075119,1.309464932,3.979864005,3.873712746
SMC3,1.740120097,1.778664743,4.268406459,4.028784561
NXF1,2.048856163,1.552950125,3.776829262,3.433978131
PPIB,1.117307474,1.963584459,4.187888031,4.090037218
ATG4B,1.4452613,1.729096315,1.431924222,1.231555684
MEX3A,1.491250813,1.689429139,3.913799924,3.814332729
DNM2,1.247610454,1.239032081,3.512564946,3.456355275
PHRF1,1.190374855,1.679268368,1.387082771,1.260778918
SNX2,1.444087707,1.765195847,3.125238716,3.020740635
ZCCHC10,0.972885837,1.404473654,4.333456518,4.095405694
SLC25A12,1.184556078,2.024688401,4.17192569,4.030826775
HSPA14,2.005043497,1.75892031,3.780020379,3.710759819
ZC3H11A,1.520820374,1.599441528,3.824206901,3.649423478
SDHA,1.239501972,1.127815636,1.591845731,1.768187136
CHERP,1.34460416,1.722028798,3.772221987,3.222687974
GALK1,1.992564944,2.217910316,3.923819518,4.035040458
ABCF1,1.861547322,1.413493936,4.031714026,3.850697391
ERLIN2,2.99522265,3.175483348,4.541637301,4.453297477
CD2AP,1.796758661,1.370060178,1.545037483,1.087503963
ZNF483,1.186600754,1.003670175,1.475742025,1.49635929
MTA1,1.551816365,1.349860079,2.708344881,2.655832249
PSMD11,2.77466967,2.742682079,4.638679646,4.538757325
FIP1L1,1.914358875,2.52458486,3.964784094,3.874957762
ATP2B1,1.345697341,1.264654304,2.96719082,2.448405505
RARS,2.406784202,3.082771448,4.170360585,4.019302257
LRRC47,2.012127192,1.867283476,3.769666948,3.742681434
CENPV,1.532816671,1.646119228,5.239403271,5.085641766
UCHL5,1.51802795,1.87712183,3.770327489,3.587312166
HACD3,2.44631657,2.379072656,4.647179872,4.417167214
GPC3,1.723656585,1.138182161,3.457786975,2.46738846
TXN,1.415149718,1.994825626,1.471103868,2.931916019
CEP350,1.558767479,1.316404977,2.05165883,2.511314797
HIST1H1B,1.471441545,1.437336879,1.35140816,1.627879316
GNE,1.731110589,1.734924047,2.705720164,2.608279636
SMU1,1.587444958,1.860623272,3.874221917,3.689788356
IARS,1.718413271,2.695981524,4.511979747,4.262457017
MPG,1.19757639,2.205282103,3.418961447,3.168491195
VPS28,1.773521584,0.990914734,3.794532737,3.636130125
LRRC40,1.422968513,1.495736673,3.164730436,3.072303451
HSD17B12,2.597765914,2.633266819,4.149427625,3.938461165
BANF1,4.558067609,1.653095789,4.563936085,4.49801669
CLPX,1.318559936,1.002475337,2.459547019,2.585521553
PARD3,2.034468598,1.379012482,2.851233239,2.603569258
HDAC1,2.236154835,2.083263448,4.095501138,4.0114413
NBR1,1.922087573,2.154616701,3.062827196,3.264488322
RNF2,1.181866288,1.242243805,3.716578851,3.81943112
PHB2,2.174890793,2.96381612,4.299948366,4.215931468
KIFC1,1.6339741,1.311466854,3.111898252,2.959227043
RPS29,3.563814298,2.023427259,5.255101657,4.558675495
2-Sep,2.260803185,2.696630315,4.243797155,4.096272536
POLD1,1.250745413,1.723775828,3.979496921,3.831590073
DDOST,1.13528894,2.080761477,3.419660344,3.262871932
RPRD1A,1.241692584,1.765736666,1.639921712,1.561166704
SF3B2,1.785313651,2.03846787,4.36442472,4.251662566
RFC5,1.791450171,2.314010884,4.598354674,4.452278242
PRMT1,1.712920866,1.300548642,3.862293726,3.773717585
DNAJA3,2.669013651,3.123505322,4.697731417,4.563145163
DAAM1,1.394227979,1.625483529,1.917088698,1.580721601
RPP30,1.650757996,2.090318177,4.020701641,3.649386052
H1FX,2.95967157,3.230560992,5.318824785,5.228230158
CKAP2L,1.255722178,1.738149302,2.893148047,2.427523977
RTN4RL2,1.721158143,2.230037775,1.26542777,3.361423505
MPP2,0.961266228,1.41922894,1.280361028,1.157947856
MED4,1.825427733,2.211208468,1.578796008,1.429474238
ZKSCAN8,2.080427474,1.402372709,2.940953551,3.786395122
EXOSC7,1.306745238,1.868000594,3.622880599,3.620353084
CFAP20,2.529395504,1.35291885,4.210941029,3.948504005
WDR3,1.805840073,0.783996204,3.233950515,3.262975709
TBC1D15,1.417440414,1.533606041,2.70949335,3.564449433
WDR54,1.990125293,1.602636719,1.765466682,1.925542339
ZBTB21,1.328760508,0.768427622,2.81914898,2.482937816
WDR82,1.081166266,1.91286175,3.97904364,3.710072297
NUP43,1.55258374,2.367962299,4.125160962,4.103717513
PKN2,1.350357345,1.511158043,2.901133507,2.7891832
SRGAP3,2.234235561,2.594164954,3.240554719,3.010009472
PHAX,1.191510468,1.518783172,3.23740793,2.40597788
PSMB2,3.009015762,2.556468947,4.279761404,4.253802232
HNRNPA0,1.063847677,2.549051571,4.980806672,4.791548046
RFC3,1.331384859,1.300936789,3.94676168,3.903894314
DIS3,2.115796283,2.236350698,4.270967696,4.088671826
MCM4,2.120655247,2.356130641,3.803157898,3.765278506
HEATR1,1.198410633,1.34850903,3.305979964,3.189480725
CALU,1.630627257,1.598933214,4.651605305,4.508233138
PRC1,1.583099006,1.775503879,3.493217772,3.057080293
KIF7,0.945789582,1.575054556,3.140486363,2.817532899
EIF2B1,1.358840679,2.227756642,1.108510995,1.306013329
RFC4,1.367371766,2.22875749,4.493472202,4.295338135
GIT1,1.310500262,2.272282093,2.954135134,1.340870989
NISCH,1.434611526,1.854555829,3.714494193,3.590395646
CLIC1,1.418196911,2.227524411,3.374566034,3.115624294
ARMCX3,2.339524413,2.846928755,4.049194588,3.912852482
KIAA1671,1.211074616,1.11798079,3.669898945,2.735091422
NUP85,1.781795774,1.725944826,3.416542778,2.969233463
TIMM50,2.16617459,2.812649571,4.524488411,4.467874964
TSR3,0.876392753,1.832710843,3.790061295,3.497953198
PRDX6,2.643451858,1.505752326,4.111916115,4.118491807
CKAP5,1.601339115,1.743711651,3.464312471,3.011677313
MARK2,1.937448322,1.80526507,3.471138002,3.202038463
AAAS,2.949386233,1.698764211,3.520366573,3.39603568
ECHS1,1.625897941,1.097600945,3.422104996,3.229652962
FUBP3,1.684343813,1.256984196,4.870692634,4.71422995
TLN1,1.58328602,1.87247177,3.106457803,2.545799945
CEP89,1.400583221,1.552581353,2.603278892,1.489815283
DTNB,1.518743523,1.277736962,2.850671719,2.645219953
CCNY,1.476485497,2.77883071,4.255284513,4.121717922
ALDH1B1,2.659709371,1.507178297,4.438333189,4.418476818
RTTN,1.251192412,2.009525505,4.305574243,4.289797421
CNOT3,1.726489818,1.855112163,3.472275383,3.293458298
NDUFS3,2.482201958,2.285037757,4.580363837,4.523020565
GMPS,2.064436151,1.739082555,2.593085075,2.359374881
TAF10,1.371299538,1.276519758,1.725373814,1.915853212
ZNF107,1.937719312,1.976956621,1.723083836,2.070217503
MICA,1.67273577,1.80908236,1.364870241,1.449056774
ACADM,2.077103273,2.356680371,4.341705155,4.27298299
CNTNAP4,2.673692397,3.038773234,4.751609997,4.398158298
MRPS10,1.681790711,1.866959875,3.865652964,3.783403791
RNF216,1.986682055,1.454523907,4.254109586,4.459932871
PSMA3,2.648767354,3.380167911,4.657475288,4.471118157
USP9X,1.629411718,1.825052651,3.480669163,3.006093981
LZTS3,0.978270059,1.976587023,0.639631189,1.862227898
USP15,1.405316691,1.135070168,1.21928416,1.136799503
ZNF189,1.856190292,1.529251799,1.576738977,1.590524059
AARS,1.598174954,1.862745264,3.487000859,3.560921482
PSMD13,1.685657665,2.368163522,4.296692251,4.366591611
EXOSC9,1.715211807,1.343144136,4.095053219,3.848296733
NET1,1.007513472,1.628652665,2.722862926,2.588291599
OAT,2.713218772,2.863575976,4.293045371,4.226884922
ACP1,1.821922987,1.342107521,3.718584804,3.899811779
ANKZF1,1.5113226,1.702300085,3.79673145,3.539069659
PRKAR2A,2.740492031,2.838130434,4.066505125,3.960302002
SDAD1,1.896219079,1.562829895,3.365131085,2.759270677
CAMK2D,1.648938678,1.316597858,3.785981478,3.151608252
RAB14,2.547616937,1.777828681,2.891813582,3.118030768
POGZ,1.305334507,1.505369303,3.600966426,2.544977943
U2SURP,1.234244003,1.608951232,4.062189585,3.692755945
PPA1,1.702844741,1.139979003,3.607232275,3.487593417
MPP6,1.685210228,1.767188137,3.295873478,2.800233073
ZBTB24,1.349536097,1.510716265,1.889859441,1.877268696
USF2,1.182089068,1.461606504,1.291245975,1.28304225
GSPT1,1.53934733,1.835262799,1.362020291,3.251360144
ARIH1,1.135290278,1.963686397,1.13703335,1.533450658
LARP1,2.044576922,1.857142753,5.152371789,4.953524312
JADE3,1.192929729,1.987195912,1.803087291,1.929447421
GNG5,2.962471117,1.682579228,3.445727087,3.797968424
SDR42E1,1.184000974,1.731909911,3.992171027,3.763615442
HASPIN,1.39151848,0.935737757,2.539439726,1.357419145
ALDOA,2.80772063,2.451116565,3.588727976,3.501015756
KIF20A,1.49289689,1.89159118,1.45839093,1.400977448
ARVCF,1.582938211,1.105772169,2.532035514,2.305695449
HSD17B4,1.335514901,2.152256636,3.140578424,3.244660076
POLD2,1.945983646,1.839621573,3.750810789,3.572614421
WASF2,1.574956416,2.303223914,1.974882473,1.921845006
MRPL2,0.753735735,1.898931783,1.45588387,1.467169294
DDX56,0.990856349,1.194105369,3.712155074,3.476084497
FRS2,1.813953698,1.519323858,1.508894836,1.901118717
THOC6,2.006611299,2.276622688,3.651705419,3.597097199
EXOSC2,1.80666787,2.372582416,4.471837125,4.255316441
DSC2,1.365440917,1.441792481,2.515715806,2.798693832
HNRNPA3,2.052195578,1.286031478,5.191921543,5.034617864
RBM5,1.52328933,1.908691276,2.985777233,2.828155402
PSMD3,2.844092036,2.500027337,4.704478846,4.572357183
DNAJB6,2.869492326,2.942592325,4.59948078,4.533420525
GKAP1,1.691789054,1.945908809,1.502494693,1.917348563
ZNF668,1.67645486,1.723278945,3.009764596,2.664632308
EXOSC8,1.642577381,2.238428565,3.701049033,3.654975792
PLRG1,1.516164372,1.599080061,3.847842059,3.731880059
PBRM1,1.360976267,1.780058339,1.097898418,2.120388829
OCLN,1.594537247,1.054297273,2.458828782,1.433076295
GART,1.497045459,2.159349871,4.05975805,3.872367813
ANXA5,2.726342048,1.798436205,3.299308045,3.307239564
MRPL16,1.089058547,1.832097744,4.415251969,4.003649951
NSUN4,1.657251608,1.57196892,1.289330934,2.259901612
CHEK1,1.88153304,1.623625417,3.245792627,2.856008601
TAF3,1.20923264,1.79462884,1.556426598,1.19984728
PRKCA,1.125496982,1.655857222,1.694259962,1.891180485
PARP2,1.666869545,1.458771935,3.806901447,3.474344306
GFM1,1.600665932,1.394127222,2.321691017,2.457877156
CENPB,1.497533091,1.563408263,2.616225559,3.096833715
SLC25A1,1.898105961,2.655846282,4.754692826,4.590696119
USP10,2.178720682,2.802033354,4.87040048,4.717069661
LRWD1,1.044247482,1.355589092,2.824260026,2.598741152
ZNF592,1.445159219,0.785423467,1.930163121,2.017278986
HEATR3,1.606006892,1.748954305,3.469705848,3.482873426
BASP1,1.34907999,1.451062158,1.4000072,1.477973279
ALDH2,2.01749727,1.210456182,3.925354276,3.657091952
EXOSC1,2.011962545,1.735637506,4.158783961,3.959333375
NUSAP1,1.404801084,1.21605436,4.053873021,3.557196965
SMARCA4,1.489099526,1.741698684,2.787254241,3.173182733
SENP1,1.751470426,1.637838751,0.846709178,1.780079919
HDLBP,1.272900931,1.711075263,3.878705522,3.519964852
IRAK1,1.613392226,1.635287414,3.217472237,3.137195989
NOL12,2.069015239,1.386650848,1.624558703,1.659280341
SNRPD3,4.049274249,3.57913766,4.156757191,4.439734978
POLR2C,1.643632617,1.224118591,4.102395619,3.391096998
NEK9,1.822088179,1.857165271,2.929078142,2.746745979
AMBRA1,2.009050367,1.694477893,2.342339755,0.886157341
SAP30BP,0.977962308,1.965252918,1.880195243,1.544802721
ZNF16,1.142592011,1.892908875,2.226426242,1.782385784
MECR,1.337230758,2.348426411,1.555950667,3.426926998
ORC4,1.385951208,1.071637338,2.373600235,2.422246421
UCK2,1.861951094,2.254086875,4.121059712,4.119976527
KIAA1328,1.235056636,2.531313632,1.497387647,1.742407893
STT3B,1.7652862,1.526754578,3.046699319,3.100655254
ISG20L2,1.278660487,1.327873327,3.314279766,3.005190205
CLDN12,0.906548766,1.329940575,1.057357791,2.606819618
ANPEP,1.10706165,2.039460928,1.471939553,1.455472722
UTP11,1.198078654,1.549481767,1.736051507,1.562176828
RPP40,1.494388721,1.156102895,1.458552165,1.586391027
UBXN7,1.939673552,1.181749429,1.971483925,1.903790516
EVPL,1.230107889,1.437326795,1.732395971,1.278095188
TLL1,1.52613219,1.587943719,1.613937279,1.567785261
COX15,1.083917072,1.716192135,3.036316852,3.222089376
UTRN,1.513783074,1.475403432,2.759593325,1.845009845
HOXC9,1.667719513,1.370194279,1.259418068,1.211164862
WTAP,2.123921315,1.747956511,4.324020897,3.658426813
THAP11,1.731916013,1.534532564,3.807660065,3.558433009
CLTA,2.958774867,3.273174764,3.864218602,3.678782825
XRCC3,1.436979581,1.884301381,3.157127538,3.315298798
FKBP8,1.410173692,1.092759223,4.458427936,4.331081037
C1QBP,1.575925266,1.572251602,4.517207799,4.409506295
PUS1,1.823108736,1.6162587,1.477789705,1.469438938
G3BP2,3.077506904,3.557519823,5.358955234,5.259114662
MRPL41,1.072080583,1.415677442,1.467240099,1.405895309
NCAPH,1.343596238,1.540712007,3.016284539,3.016161388
GSE1,1.580580352,2.336271804,1.567833878,1.47471313
TAF1C,2.093116509,1.724159879,2.642800089,2.597962937
EEF1AKNMT,1.678133142,1.652970233,3.764142778,3.56338277
RNPC3,1.806636004,1.403000521,0.942358638,1.249226475
SYNE1,1.660203183,1.212402731,1.300044306,1.800910306
NLE1,0.994205189,1.050870222,2.9633621,3.205280652
KATNB1,1.970102853,1.454492922,2.242986115,3.000396568
DCAF15,1.326545256,2.143406072,3.073992632,2.731635311
HYDIN,1.376048338,1.716463044,1.387615844,1.215850603
CCNT1,1.538525249,1.252412007,1.876257814,1.383471899
FASTKD5,1.443335929,1.787016834,1.573865212,2.423825264
CPB2,1.895617892,1.588164647,1.642130478,1.623177773
VPS36,1.246389807,1.946857399,1.507927366,1.736370281
AIMP2,1.464775312,1.075384866,3.75378545,3.746890651
PYCR2,1.37454722,2.509920197,4.065316253,3.807025012
RALYL,2.581925001,2.999991188,4.532890092,4.455307357
POP4,1.638333721,1.591702489,3.766132175,3.755864558
GPRC5C,1.226768509,1.423551902,1.677284194,1.576234405
DPM1,2.56312231,2.970812044,5.010552275,4.870101987
IKBKG,1.847015547,1.425822313,3.860213794,3.111843011
RAB21,1.741022604,1.719856533,2.758603305,2.684500191
CEP97,1.231449287,1.441812451,2.906025113,2.37642103
RFLNB,1.004348856,1.230049758,3.942399215,3.52423142
XPO1,1.484094512,1.713069322,3.9825467,3.886450855
CDKN2A,3.107051727,1.517464327,4.411112226,4.461737319
SEC23A,1.508554521,1.619410451,3.311415044,2.775645553
ASCC3,1.331347947,1.013473885,3.935899338,3.871534947
DCTN1,1.3929467,1.485931475,3.250569304,2.736119787
NT5DC2,1.519784694,1.634004495,3.788023727,2.636471984
TBC1D31,1.455791474,1.732468527,1.175318691,1.360453627
YARS,1.508080208,1.833461542,2.998373327,2.135079852
NUP188,1.618906388,0.709435061,2.760424181,2.359068166
PRKCD,1.240253456,1.214739727,1.27113143,1.481906443
ANKFY1,1.062957772,1.776554692,3.609458994,3.538864748
SEC24B,1.550412557,1.632453118,2.213546161,1.837525029
CPSF2,1.487611517,1.523132647,1.335585077,2.79519166
FRK,1.827455265,1.475289273,3.089359599,1.551639004
NRG1,1.250404524,1.720015263,1.931411463,1.103089549
HDHD5,1.494090799,1.223526718,3.972568772,3.92499458
NUP160,1.600658769,1.076898502,3.582157751,3.235857909
TTC26,1.812782299,1.980940593,3.706345093,3.566699636
DDX6,2.292626791,1.686684154,4.106320164,4.27958546
KLHL18,1.825020043,1.555151981,1.87584701,1.62323017
CCDC60,1.455797783,1.545336529,1.247446153,0.770744046
GPC6,2.062920127,1.416515967,3.957646488,3.737632777
NCKAP1,1.397011465,2.003181479,3.397953908,3.513474753
PRDX3,3.022138211,2.004807587,3.91265722,3.940486569
SENP7,1.217739398,2.224701953,1.786379571,1.01208249
MBD4,0.978377753,1.905650573,2.163873201,2.138515135
CALD1,1.298127446,1.224146221,1.408069018,1.922267113
CBX4,1.298010514,1.732353849,1.340743845,1.561773981
PDE12,1.723685718,1.454558991,1.468909766,2.060388159
GPN2,1.634818874,2.097654136,3.592162953,3.296232931
SMC2,1.267261441,1.90636423,4.279847069,3.983224428
GPKOW,1.27764941,1.238602752,2.096178161,1.969070112
DCAF1,1.554361214,1.676100209,4.253516619,3.98564341
FAM161A,1.606914543,1.279784673,1.528076668,1.595775766
HOXB8,1.419725485,1.482114405,0.925775668,1.26146109
CFAP97,1.902759541,1.841761758,2.320402224,1.17552423
CYP24A1,0.940445806,1.535346879,2.632473486,3.01867073
ZNF440,1.385528312,0.903339415,1.349279735,1.62028583
CHAF1B,1.334623692,1.35109124,2.633823434,2.714303835
CROCC,1.659696192,1.295566549,1.798524936,1.550326361
GYS1,1.729340958,1.284788704,2.941494257,2.790675443
ADNP,1.850058754,1.386374117,3.622776982,2.997027881
AGK,2.404749362,1.42435765,4.609359943,4.471913591
GLRX3,1.393580139,1.875856946,3.604876051,3.271615917
FBXO30,1.623190037,1.135511334,2.324795482,2.164748238
CDCA2,1.527107915,1.613278177,1.543691755,2.810386095
FCF1,1.831517546,1.698690407,1.367644917,1.466645791
TGM1,1.468028286,1.291461013,1.730925507,1.212751991
MARK3,1.559072227,1.752522437,3.193343729,3.198313185
UMPS,1.508602332,1.621302063,3.938931633,3.935642267
RRP1,1.152521327,1.282371457,4.452399134,4.296942515
EIF3F,2.808938439,2.902213838,4.269232727,4.631026128
HAX1,1.39187935,2.719914877,4.581742934,4.519629087
GEMIN5,1.341571073,1.000751708,3.785862812,3.550652229
RBBP5,1.461994232,1.237580012,1.675908167,3.32702213
CUEDC1,1.476828165,1.094733415,2.856577401,2.785501006
ECT2,1.052943195,1.574332991,3.090249679,2.678181274
UBAP2,1.238274038,1.500568054,3.648375365,3.419000721
PQBP1,1.540600086,1.717761804,1.077718974,1.063736851
ROR2,1.451230012,1.758957939,1.94677564,1.840100787
TPI1,2.207155967,1.886834303,3.947178959,3.837690918
UTP6,1.646281025,1.619744958,3.540042714,1.789325536
TSFM,2.187820794,1.022868126,2.86664602,2.667363999
ZFP91,1.91288432,1.734036288,2.155215187,1.588072125
MAGI1,1.576376019,0.931268622,1.784908922,1.591128516
PRPF3,1.225438938,1.341307531,1.751166579,3.07259267
PTPN11,1.255611629,1.300442178,1.917602608,1.149554709
ALKBH5,2.000122844,0.86199562,3.711774455,3.734198765
STK11IP,1.39157582,1.456710559,3.350874527,2.887040576
KIF11,1.358182378,1.889894306,3.550706359,3.369582019
TOMM70,1.823922045,1.350944729,3.581942938,3.443520757
LAMTOR1,3.38458899,2.452488883,3.740222932,3.966075375
GNL1,0.842225625,1.757739914,1.532134886,1.399164234
PRPF4,1.443374671,1.476629184,3.505810728,3.329011536
GRN,2.081988486,2.193762604,1.490480277,1.343826656
ZNF281,2.166660532,1.55413322,4.047562646,3.808095541
SUCLG1,1.736711133,1.482804863,2.793968416,2.582270685
NUP35,1.545967286,1.728432068,1.214983538,1.221945371
MGST2,2.931679271,2.363761131,1.430469016,1.244620635
EIF2B5,2.250740388,2.259773628,3.815900231,3.763656379
PRPF4B,1.62905618,1.133574549,4.248608663,4.167829085
GRAMD1B,1.356042522,1.366492603,1.632810362,3.371892122
ORC1,1.339445098,1.423562823,1.448050512,1.230260575
ZNF48,1.439860515,1.336749369,2.696046463,2.387864809
DLG5,0.81106236,1.79045093,1.149130182,1.602938583
RBBP8,1.190119464,1.554950581,1.100830418,1.4438627
ANP32E,1.189482951,1.182153342,1.171113964,1.415291085
WIZ,1.609796766,1.341536815,3.219905544,2.822334165
PDCL,1.629523735,1.535114272,1.522242821,1.421323796
TMEM132D,1.505955866,1.554334583,1.386220612,1.430282575
RNF40,1.482328908,1.36082097,3.205453656,3.22475169
CARM1,1.74331091,1.871415714,1.314752793,1.640741241
DIAPH2,1.367804584,1.213553575,1.465460473,2.453535442
UFD1,1.477712351,1.163873548,3.220759052,3.121475369
HOXA5,1.556078559,1.91772646,1.373745636,1.431415842
HNRNPAB,2.757199094,2.765392195,4.589483584,4.492737944
AP1G1,1.894550824,2.037378445,3.219533169,3.492967808
PIK3C2A,1.525745566,1.517707854,1.551340814,1.322641194
COPS3,2.167609045,1.960633216,3.681878712,3.517057623
BARD1,1.093464817,1.520963594,2.696300369,1.046482262
CPSF7,2.331699562,2.068587331,3.694975566,3.646622088
XPNPEP1,1.435863605,1.197016244,2.798405104,2.465309806
BCCIP,1.243399162,1.8019868,4.040774015,3.989208844
ACTR1A,2.591350981,3.289679516,4.332023811,4.349378195
SIK3,1.956602668,1.457530991,1.010635885,1.83651357
IDH3A,1.951093698,2.244134461,3.852580028,3.520945883
RAB11FIP4,1.391184043,2.066901643,3.154341377,1.655804602
PDCD2L,1.411910239,1.540043538,3.480390852,3.38022252
NACA,2.209755847,1.340957281,3.617668276,3.547578105
NSF,1.668028367,2.14757721,3.469640251,3.086718229
TTI1,1.370206162,1.767313711,3.03499349,3.806472353
ANKRD30A,1.43844905,1.789394302,2.644359325,2.41787498
MAPRE1,2.304166831,2.460223524,3.783484341,3.331739059
RGS19,2.358708394,1.226676439,3.345040801,3.449216429
LIMD1,1.792165391,1.800498162,1.520576243,1.516869938
HAUS6,1.260145992,1.499280795,3.783425287,3.440852403
FRG1,2.673639956,3.102711571,3.786571225,3.39275035
PNPLA6,0.822738636,2.01351718,2.692004482,2.304852339
SPG11,1.284321796,1.345801603,3.375934018,1.622082
HAUS5,1.421450385,1.219660162,2.889291114,2.7070581
SF3A3,2.311066678,1.47441733,3.542207746,3.554965534
WASHC4,1.519731555,1.256352668,3.370121265,3.146932404
TPX2,1.644281764,2.250310375,2.607445541,3.115500937
BBC3,1.482576778,1.141198935,1.556678865,1.74938332
SERPINH1,0.93070457,1.734631094,3.598917903,3.789989919
PSMC6,1.69737333,2.585344391,4.672934197,4.595413317
LACRT,1.854671715,1.318952691,1.883224635,1.509005031
HDDC2,2.478675646,2.765294311,3.848946476,3.989949708
