Genes,293GFPnoIR1_S1,293GFPnoIR2_S2,293GFPnoIR3_S3,293HATertnoIR1_S4,293HATertnoIR2_S5,293HATertnoIR3_S6,293GFPIR1_S7,293GFPIR2_S8,293GFPIR3_S9,293HATertIR1_S10,293HATertIR2_S11,293HATertIR3_S12
AC053527.2,12,21,34,15,24,18,40,13,6,12,3,4
ALB,2,0,8,0,10,6,4,3,4,2,1,2
AFP,0,0,0,0,0,0,0,0,0,0,0,0
AFM,0,0,0,0,0,0,0,0,0,0,0,0
LINC02499,0,0,0,0,0,0,0,0,0,0,0,0
RASSF6,8,24,46,22,45,32,42,28,32,22,12,16
UMLILO,0,0,0,0,0,0,0,0,0,0,0,0
CXCL8,0,6,4,6,18,6,4,0,2,14,8,14
CXCL6,2,16,14,2,8,6,6,5,10,12,2,0
PF4V1,0,0,0,0,0,0,0,0,0,0,0,0
CXCL1,8,2,2,6,10,4,6,24,4,2,0,10
PF4,2,5,4,6,12,4,0,3,8,2,0,0
PPBP,0,0,0,0,0,0,0,2,0,0,0,0
CXCL5,0,0,0,0,0,0,0,0,0,0,0,0
AC097709.1,0,0,0,0,0,0,0,0,0,0,0,0
CXCL3,23,17,58,14,78,72,20,62,26,40,12,10
AC093677.3,0,8,0,1,0,0,4,0,0,0,0,0
CXCL2,8,18,26,26,25,35,32,22,4,10,8,7
MTHFD2L,381,421,1207,806,1315,901,848,1035,509,656,365,274
AC093677.2,21,2,20,8,15,23,32,24,10,14,16,5
EPGN,0,0,4,2,2,0,6,0,4,1,2,0
EREG,0,0,0,8,2,0,0,2,0,3,0,0
AC021180.1,0,0,0,0,0,0,0,0,0,0,0,0
AREG,8,6,15,22,21,14,14,15,31,12,2,4
AC239584.1,0,0,0,0,0,0,0,0,0,0,0,0
BTC,0,2,4,0,4,0,4,0,0,0,0,0
AC098825.1,0,0,0,0,0,0,0,0,0,0,0,0
PARM1,431,462,962,618,1109,725,792,1117,523,577,364,268
AC110760.2,0,0,0,2,0,0,0,2,0,2,0,0
AC110760.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02562,0,1,0,0,1,2,0,4,2,2,0,0
AC025244.1,0,0,0,0,0,0,0,0,0,0,0,0
AC025244.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC02483,0,0,0,0,0,0,0,0,0,0,0,0
AC096759.1,0,0,0,0,0,0,0,0,0,0,0,0
AC096759.2,0,0,0,0,0,0,0,0,0,0,0,0
RCHY1,907,861,2004,1651,2244,1475,1398,1475,848,1033,501,400
THAP6,387,363,903,685,973,729,629,858,439,488,266,221
ODAPH,0,2,2,0,0,0,0,3,3,2,0,0
CDKL2,172,157,336,222,336,243,270,284,174,154,99,60
G3BP2,5952,5476,12737,11827,17851,10434,9915,12026,6420,7812,4454,3263
